neighbourhood,price,rating
Barking and Dagenham,61.34375,92.85
Barnet,84.5751938,93.51627907
Bexley,60.85576923,95
Brent,92.52967626,92.37230216
Bromley,64.62867647,94.88970588
Camden,150.9032864,91.16932707
City of London,188.3782772,89.72659176
Croydon,62.0744186,93.70930233
Ealing,86.07692308,93.59018568
Enfield,67.63843648,92.86319218
Greenwich,97.00382653,93.80867347
Hackney,102.940167,94.43692022
Hammersmith and Fulham,145.9130219,91.63170974
Haringey,86.69088812,94.3160323
Harrow,84.15816327,92.85204082
Havering,64.421875,93.421875
Hillingdon,70.62536023,92.48126801
Hounslow,94.1,93.284
Islington,120.6610338,92.89264414
Kensington and Chelsea,210.6858438,91.62343096
Kingston upon Thames,83.70703125,94.546875
Lambeth,105.1070764,93.66154562
Lewisham,68.16819222,93.59496568
Merton,95.75247525,94.04950495
Newham,82.95421436,91.98959417
Redbridge,71.40514469,91.07395498
Richmond upon Thames,120.2325175,95.29195804
Southwark,122.6552655,92.67821782
Sutton,52.43382353,93.44117647
Tower Hamlets,95.43444125,90.56922272
Waltham Forest,66.66148532,94.19861831
Wandsworth,120.1130536,94.07750583
Westminster,220.5099338,90.46864044
